set,idx,category,layer,proj_S1,proj_S2
S1_1P,6,C1,8,-4.951899764126754,0.35375635879715595
S1_1P,6,C1,9,-8.74109038997273,-0.6615369565628859
S1_1P,6,C1,10,-10.291621704403301,0.7790637733376684
S1_1P,6,C1,11,-7.3574667520918124,0.9105381120059124
S1_1P,6,C1,12,-7.217605717892683,-2.953980679538262
S1_1P,6,C1,13,-7.874705342360792,-11.162643451544685
S1_1P,6,C1,14,-8.435737834889027,-8.752293637606892
S1_1P,6,C1,15,-10.716770636535104,-8.142253137500568
S1_1P,6,C1,16,-10.996725136994723,-7.332950552627979
S1_1P,6,C1,17,-9.169272515591828,-3.5651192316717193
S1_1P,6,C1,18,-12.291007360141336,-2.8000552100263274
S1_1P,6,C1,19,-2.6440076455599457,-8.911693752727144
S1_1P,6,C1,20,-13.251977643197261,-17.74547157950103
S1_1P,6,C1,21,-20.655259128985847,-25.18081258399682
S1_1P,6,C1,22,-19.891268922195714,-24.05806595074379
S1_1P,6,C1,23,-18.114858476235998,-28.872645229447958
S1_1P,6,C1,24,-18.86035204339416,-39.03527394639027
S1_1P,7,C2,0,-0.6164389606073234,-1.3409710562396286
S1_1P,7,C2,1,-0.3538415859435616,-0.7442534059360757
S1_1P,7,C2,2,-1.2529146205310153,-1.7673558419108566
S1_1P,7,C2,3,-0.43935472635947476,-1.3637951657739638
S1_1P,7,C2,4,-0.4621527461353145,-2.147919815708736
S1_1P,7,C2,5,-1.9280168590404299,-0.23692976258546394
S1_1P,7,C2,6,-3.4112779969086464,-0.571409315720033
S1_1P,7,C2,7,-6.794236746474478,0.11295285393438848
S1_1P,7,C2,8,-5.126360230301064,0.2944039583137159
S1_1P,7,C2,9,-9.638125394370523,0.40402486811023364
S1_1P,7,C2,10,-12.130991469099879,1.35020059595605
S1_1P,7,C2,11,-9.168477522075975,0.3154904600634323
S1_1P,7,C2,12,-9.066385127542915,-3.527461148461992
S1_1P,7,C2,13,-8.352996961679857,-11.108102542201024
S1_1P,7,C2,14,-9.27821334968467,-7.915393489673706
S1_1P,7,C2,15,-12.632561778172917,-9.32716876578748
S1_1P,7,C2,16,-12.32657583389453,-6.049933006994084
S1_1P,7,C2,17,-12.003736552069519,-2.589019386986624
S1_1P,7,C2,18,-14.005682747952621,-1.061806739673398
S1_1P,7,C2,19,-11.00809732045426,-5.19692441287489
S1_1P,7,C2,20,-20.853047839184743,-12.503417652128778
S1_1P,7,C2,21,-25.032849835916224,-17.233615027003655
S1_1P,7,C2,22,-21.543856520380157,-13.645883762126031
S1_1P,7,C2,23,-17.01558477855233,-12.953518670946611
S1_1P,7,C2,24,-11.915444993181442,-15.886430264425062
S1_1P,8,D,0,-0.817691274379187,-1.2665674366777444
S1_1P,8,D,1,-0.6642041875928406,-0.6664077080335509
S1_1P,8,D,2,-1.5598832307529413,-1.7107761344325791
S1_1P,8,D,3,-0.5813446573622445,-1.4973444955047182
S1_1P,8,D,4,-0.8076028018388598,-2.5792315683101217
S1_1P,8,D,5,-1.0907109427115693,0.18943974836512162
S1_1P,8,D,6,-2.4864257296817236,0.3254885109710275
S1_1P,8,D,7,-6.187597200683163,0.7099100234944378
S1_1P,8,D,8,-5.02682169298112,2.2931158243303544
S1_1P,8,D,9,-9.169663852795212,0.9681320100432333
S1_1P,8,D,10,-11.53052443015514,2.2709457018426615
S1_1P,8,D,11,-7.169398851371268,2.561429559321981
S1_1P,8,D,12,-6.393779349152818,-0.3092236001619715
S1_1P,8,D,13,-6.122971623239659,-8.658074077148099
S1_1P,8,D,14,-7.4778339874332325,-6.1313785738184805
S1_1P,8,D,15,-9.67125881124891,-6.503348632265746
S1_1P,8,D,16,-10.125262416038431,-6.614207198324022
S1_1P,8,D,17,-8.458571087420959,-2.9186171584874416
S1_1P,8,D,18,-9.904641081271336,-1.6241579910855766
S1_1P,8,D,19,-4.051907733263968,-5.029403696371529
S1_1P,8,D,20,-12.283748398676497,-10.595028115348798
S1_1P,8,D,21,-16.701217351455174,-14.72151207942072
S1_1P,8,D,22,-13.379919522731853,-12.791231848844586
S1_1P,8,D,23,-9.952881953277709,-12.201008637029737
S1_1P,8,D,24,-6.196188271078684,-14.328371010653516
S1_1P,9,E,0,-0.45327069193210423,-1.4406223391402915
S1_1P,9,E,1,-0.26389706265281,-0.568671977699156
S1_1P,9,E,2,-1.0136270967855165,-1.8218527668506137
S1_1P,9,E,3,0.35067785051848577,-1.6593092756522652
S1_1P,9,E,4,-0.1268502341772757,-3.224064427127962
S1_1P,9,E,5,-0.10872452875875421,-1.3443191859274994
S1_1P,9,E,6,-0.3535587935530603,-0.4691137257621387
S1_1P,9,E,7,-2.5846916663071875,-0.12980935620599032
S1_1P,9,E,8,-1.5796868112203062,1.419201871136179
S1_1P,9,E,9,-6.507694760301947,-1.605484489374899
S1_1P,9,E,10,-9.07472021930559,-0.253909022543346
S1_1P,9,E,11,-5.3861056254795585,0.18777975384323753
S1_1P,9,E,12,-4.994972431364712,-2.814894558526509
S1_1P,9,E,13,-5.465317319841619,-10.808927898904487
S1_1P,9,E,14,-6.569171777265563,-8.329715203966852
S1_1P,9,E,15,-7.970232187471254,-8.041096242756476
S1_1P,9,E,16,-9.058220042281452,-8.246397871915294
S1_1P,9,E,17,-5.638946678206125,-4.862882680220266
S1_1P,9,E,18,-8.399854734104077,-5.090837362759737
S1_1P,9,E,19,-2.329143131700725,-9.268780979051538
S1_1P,9,E,20,-14.625524465327743,-13.091301161198166
S1_1P,9,E,21,-20.3865728477715,-17.53813550828032
S1_1P,9,E,22,-15.900152376848292,-14.147872217668843
S1_1P,9,E,23,-13.276813131351156,-15.663238515574117
S1_1P,9,E,24,-6.578433983098478,-17.788490038050224
S1_1P,10,A1,0,-0.38006348570471393,-1.316835594150081
S1_1P,10,A1,1,-0.17300943331961138,-0.6365583812250715
S1_1P,10,A1,2,-0.913842777839067,-1.81689982876302
S1_1P,10,A1,3,-0.017331559676982355,-1.6003477566196465
S1_1P,10,A1,4,-0.2558312877346439,-3.4287611778496356
S1_1P,10,A1,5,-0.524943526513729,-0.38613708666462554
S1_1P,10,A1,6,-1.2291299981459987,-0.11981569130107539
S1_1P,10,A1,7,-3.385284601605234,-1.2858664652828098
S1_1P,10,A1,8,-1.2564665192139381,-1.9455613745439317
S1_1P,10,A1,9,-4.8283937618666855,-2.215398112055768
S1_1P,10,A1,10,-5.866797692089145,-1.4145897331006976
S1_1P,10,A1,11,-3.019914348541585,-1.366820520654868
S1_1P,10,A1,12,-3.093733002536143,-4.303590810509882
S1_1P,10,A1,13,-2.9398025612207235,-10.879111172932472
S1_1P,10,A1,14,-4.098028433645231,-9.13432389828987
S1_1P,10,A1,15,-5.223002817666585,-8.555674731071164
S1_1P,10,A1,16,-5.575485210424269,-8.019668566105247
S1_1P,10,A1,17,-1.3999432153936413,-3.7889577709944557
S1_1P,10,A1,18,-3.774008961547927,-4.263653803160208
S1_1P,10,A1,19,5.192498341338877,-10.994334709175362
S1_1P,10,A1,20,-5.415388553197391,-19.411309061015324
S1_1P,10,A1,21,-5.211225224268645,-19.22203464114194
S1_1P,10,A1,22,6.6225070334749665,-11.324861217472252
S1_1P,10,A1,23,14.2383414451992,-9.400371680520308
S1_1P,10,A1,24,25.710755078272225,-5.622058971536298
S1_1P,11,A2,0,-0.36947028192174797,-1.0020666944111651
S1_1P,11,A2,1,-0.16055036412394155,-0.4425524375537007
S1_1P,11,A2,2,-0.7631129771937103,-1.6376218980911432
S1_1P,11,A2,3,0.04388334289983778,-1.593264154671998
S1_1P,11,A2,4,-0.2302337317990254,-3.2841083287074966
S1_1P,11,A2,5,-0.9538592796147538,-0.0028141177545719653
S1_1P,11,A2,6,-2.30078938794511,0.6860471137864786
S1_1P,11,A2,7,-5.701338086702677,-1.2931706619086833
S1_1P,11,A2,8,-4.964585775391656,-1.804879616737903
S1_1P,11,A2,9,-9.039680297777785,-1.0455242887329594
S1_1P,11,A2,10,-10.23505993529594,0.915088223524485
S1_1P,11,A2,11,-6.266185363510836,0.527313743892527
S1_1P,11,A2,12,-6.498931726975492,-3.3228707119557024
S1_1P,11,A2,13,-6.4585331750725326,-10.397285073355174
S1_1P,11,A2,14,-7.159693595910749,-7.685543855994139
S1_1P,11,A2,15,-9.34851268926344,-8.434520822690768
S1_1P,11,A2,16,-9.831070897756565,-6.968699070409265
S1_1P,11,A2,17,-8.135931187361185,-3.2641087227179097
S1_1P,11,A2,18,-9.998390165126054,-2.1781443665921385
S1_1P,11,A2,19,-4.440323096507121,-6.057369829577616
S1_1P,11,A2,20,-15.19947338128032,-14.043121936027617
S1_1P,11,A2,21,-18.716419409344248,-19.44121945118465
S1_1P,11,A2,22,-13.378720400026811,-14.027929838312927
S1_1P,11,A2,23,-8.845425007087698,-13.746886355958067
S1_1P,11,A2,24,-3.2708171233285093,-15.832390000123862
S1_1P,12,A3,0,-0.3854538480084122,-1.0655716369623205
S1_1P,12,A3,1,-0.0956894350120032,-0.05160297829832877
S1_1P,12,A3,2,-0.6809624582516716,-0.8469859032280069
S1_1P,12,A3,3,1.281871291439332,-0.3613689994130078
S1_1P,12,A3,4,0.2969407065161317,-1.5614925916239422
